tutor_id,topic_id,tutor_name,tutor_title,response_day,num_meet,num_wanna_see,acceptance_rate,num_product,tutor_intro,len_tutor_intro,earliest_review_day,day_opened
2,2,3,4,5,6,7,8,9,10,12,1,day_opened2,2,3,4,5,6,7,8,9,10,12,1,day_opened
2,2,3,4,5,6,7,8,9,10,12,1,day_opened
2,2,3,4,5,6,7,8,9,10,12,1,day_opened
2,2,3,4,5,6,7,8,9,10,12,1,day_opened
2,2,3,4,5,6,7,8,9,10,12,1,day_opened
2,2,3,4,5,6,7,8,9,10,12,1,day_opened
2,2,3,4,5,6,7,8,9,10,12,1,day_opened
2,2,3,4,5,6,7,8,9,10,12,1,day_opened
2,2,3,4,5,6,7,8,9,10,12,1,day_opened
2,2,3,4,5,6,7,8,9,10,12,1,day_opened
84898988,29870426,,,,16,50,,3,",, ,25,,,;061,,,,,300,500,,,,3,,, ,,(),,!",573,2016-09-18,426
84898988,29877984,,,,16,50,,3,",, ,25,,,;061,,,,,300,500,,,,3,,, ,,(),,!",573,2016-09-18,426
84794673,29864120,,&,,3,9,,1,",,,,,,,,,,,

,,,20,,",272,2016-09-18,426
84898988,29870426,è‘›æµ·å¹³,,,16,50,,3,",, ,25,,,;061,,,,,300,500,,,,3,,, ,,(),,!",573,2016-09-18,426
84898988,29877984,è‘›æµ·å¹³,,,16,50,,3,",, ,25,,,;061,,,,,300,500,,,,3,,, ,,(),,!",573,2016-09-18,426
84794673,29864120,æœ±ç¾ç‡•,&,,3,9,,1,",,,,,,,,,,,

,,,20,,",272,2016-09-18,426
84786788,29863305,å¾æ´‹,",",1,1,13,,1,"20,

,,,,,,

,,",205,2016-09-18,426
84785142,29867941,é™ˆæ•æ¢,,4,1,14,,2,",15,10,,,(),200

,5,,,,,,

,,,,",313,2016-09-18,426
84898988,29877987,è‘›æµ·å¹³,,,16,50,,3,",, ,25,,,;061,,,,,300,500,,,,3,,, ,,(),,!",573,2016-09-18,426
84898988,29870426,¸ğº£Æ½,,,16,50,,3,",, ,25,,,;061,,,,,300,500,,,,3,,, ,,(),,!",573,2016-09-18,426
84898988,29877984,¸ğº£Æ½,,,16,50,,3,",, ,25,,,;061,,,,,300,500,,,,3,,, ,,(),,!",573,2016-09-18,426
84794673,29864120,ÖìÃÀÑà,&,,3,9,,1,",,,,,,,,,,,

,,,20,,",272,2016-09-18,426
84786788,29863305,ĞìÑó,",",1,1,13,,1,"20,

,,,,,,

,,",205,2016-09-18,426
84785142,29867941,³ÂÃôÁº,,4,1,14,,2,",15,10,,,(),200

,5,,,,,,

,,,,",313,2016-09-18,426
84898988,29877987,¸ğº£Æ½,,,16,50,,3,",, ,25,,,;061,,,,,300,500,,,,3,,, ,,(),,!",573,2016-09-18,426
